English_Name,daily_passenger_avg,year_over_year_change,Station_ID
Ikebukuro,"500,694",8.5,F09
Ikebukuro,"500,694",8.5,M25
Ikebukuro,"500,694",8.5,Y09
Otemachi,"312,041",12.4,C11
Otemachi,"312,041",12.4,I09
Otemachi,"312,041",12.4,M18
Otemachi,"312,041",12.4,T09
Otemachi,"312,041",12.4,Z08
Ginza,"217,244",15.1,G09
Ginza,"217,244",15.1,H09
Ginza,"217,244",15.1,M16
Toyosu,"202,030",14.2,Y22
Shimbashi,"194,374",11.8,A10
Shimbashi,"194,374",11.8,G08
Shinjuku,"193,170",7.2,E27
Shinjuku,"193,170",7.2,S01
Tokyo,"186,253",14.5,M17
Ueno,"180,282",10.7,G16
Ueno,"180,282",10.7,H18
Shibuya,"179,645",13.7,F16
Shibuya,"179,645",13.7,G01
Shibuya,"179,645",13.7,Z01
Takadanobaba,"167,360",8.4,T03
Nihombashi,"163,127",11.0,A13
Nihombashi,"163,127",11.0,G11
Nihombashi,"163,127",11.0,T10
Iidabashi,"150,786",8.9,N10
Iidabashi,"150,786",8.9,T06
Iidabashi,"150,786",8.9,Y13
Yurakucho,"134,610",12.4,Y18
Kasumigaseki,"128,553",5.9,C08
Kasumigaseki,"128,553",5.9,H07
Kasumigaseki,"128,553",5.9,M15
Ichigaya,"127,095",9.4,N09
Ichigaya,"127,095",9.4,S04
Ichigaya,"127,095",9.4,Y14
Yotsuya,"111,376",10.3,N08
Toyocho,"111,204",8.0,T14
Mitsukoshimae,"110,666",10.0,G12
Mitsukoshimae,"110,666",10.0,Z09
Akihabara,"107,333",9.0,H16
Kayabacho,"105,877",12.0,H13
Kayabacho,"105,877",12.0,T11
Roppongi,"105,196",10.9,E23
Roppongi,"105,196",10.9,H04
Asakusa,"101,926",20.8,A18
Asakusa,"101,926",20.8,G19
Kinshicho,"100,039",8.7,Z13
Korakuen,"99,051",11.2,M22
Korakuen,"99,051",11.2,N11
Hatchobori,"98,923",10.4,H12
Ebisu,"98,329",9.2,H02
Kasai,"95,955",7.4,T17
Hibiya,"90,430",5.2,C09
Hibiya,"90,430",5.2,H08
Hibiya,"90,430",5.2,I08
Kamiyacho,"88,969",22.8,H05
Ogikubo,"82,039",7.3,M01
Jimbocho,"81,664",7.5,I10
Jimbocho,"81,664",7.5,S06
Jimbocho,"81,664",7.5,Z07
Urayasu,"76,578",7.3,T18
Myogadani,"76,244",17.6,M23
Waseda,"76,014",8.6,T04
Akasaka,"74,174",11.9,C06
Gaiemmae,"72,412",11.8,G03
Nagatacho,"72,244",9.4,N07
Nagatacho,"72,244",9.4,Y16
Nagatacho,"72,244",9.4,Z04
Hanzomon,"71,847",8.8,Z05
Kiba,"69,105",6.7,T13
Suitengumae,"68,185",17.2,Z10
Tsukishima,"67,069",10.9,E16
Tsukishima,"67,069",10.9,Y21
Ningyocho,"65,602",3.8,A14
Ningyocho,"65,602",3.8,H14
Machiya,"59,032",5.9,C17
Tsukiji,"58,868",10.8,H11
Oji,"57,821",8.4,N16
Awajicho,"54,977",9.4,M19
Kojimachi,"54,142",8.7,Y15
Kanda,"53,604",13.2,G13
Gyotoku,"52,701",6.3,T20
Sumiyoshi,"52,392",6.7,S13
Sumiyoshi,"52,392",6.7,Z12
Ochanomizu,"51,922",8.8,M20
Kyobashi,"50,698",12.8,G10
Edogawabashi,"48,975",7.0,Y12
Myoden,"48,489",7.2,T21
Minowa,"43,935",10.7,H20
Heiwadai,"41,269",6.4,F04
Heiwadai,"41,269",6.4,Y04
Takebashi,"40,940",9.8,T08
Gokokuji,"39,316",5.1,Y11
Nogizaka,"39,229",13.1,C05
Kanamecho,"38,864",7.8,F08
Kanamecho,"38,864",7.8,Y08
Kagurazaka,"38,583",7.0,T05
Senkawa,"37,251",6.7,F07
Senkawa,"37,251",6.7,Y07
Hikawadai,"36,844",6.0,F05
Hikawadai,"36,844",6.0,Y05
Komagome,"36,384",6.8,N14
Iriya,"36,239",14.2,H19
Yushima,"35,983",10.7,C13
Shintomicho,"35,708",6.1,Y20
Kodemmacho,"35,203",5.3,H15
Tawaramachi,"33,290",22.1,G18
Sendagi,"27,607",6.4,C15
Tatsumi,"27,148",6.9,Y23
Nezu,"26,589",9.8,C14
Todaimae,"25,870",9.7,N12
Ochiai,"25,129",8.9,T02
Suehirocho,"24,601",20.9,G14
Zoshigaya,"18,916",6.2,F10
Inaricho,"17,533",13.6,G17
Shimo,"14,514",8.7,N18
Sakuradamon,"13,025",6.6,Y17
Nishigahara,"8,735",7.4,N15
