Station_ID,English_Name,Japanese_Name,Line_IDs,Line_Names_En,Line_Names_Jp
A01,Nishi-magome,西馬込,A,Asakusa Line,浅草線
A02,Magome,馬込,A,Asakusa Line,浅草線
A03,Nakanobu,中延,A,Asakusa Line,浅草線
A04,Togoshi,戸越,A,Asakusa Line,浅草線
A05,Gotando,五反田,A,Asakusa Line,浅草線
A06,Takanawadai,高輪台,A,Asakusa Line,浅草線
A07,Sengakuji,泉岳寺,A,Asakusa Line,浅草線
A08,Mita,三田,A,Asakusa Line,浅草線
A09,Daimon,大門,A,Asakusa Line,浅草線
A10,Shimbashi,新橋,A,Asakusa Line,浅草線
A11,Higashi-ginza,東銀座,A,Asakusa Line,浅草線
A12,Takaracho,宝町,A,Asakusa Line,浅草線
A13,Nihombashi,日本橋,A,Asakusa Line,浅草線
A14,Ningyocho,人形町,A,Asakusa Line,浅草線
A15,Higashi-Nihombashi,東日本橋,A,Asakusa Line,浅草線
A16,Asakusabashi,浅草橋,A,Asakusa Line,浅草線
A17,Kuramae,蔵前,A,Asakusa Line,浅草線
A18,Asakusa,浅草,A,Asakusa Line,浅草線
A19,Honjo-azumabashi,本所吾妻橋,A,Asakusa Line,浅草線
A20,Oshiage <SKYTREE>,押上,A,Asakusa Line,浅草線
C01,Yoyogi-uehara,代々木上原,C,Chiyoda Line,千代田線
C02,Yoyogi-koen,代々木公園,C,Chiyoda Line,千代田線
C03,Meiji-jingumae <Harajuku>,明治神宮前,C,Chiyoda Line,千代田線
C04,Omote-sando,表参道,C,Chiyoda Line,千代田線
C05,Nogizaka,乃木坂,C,Chiyoda Line,千代田線
C06,Akasaka,赤坂,C,Chiyoda Line,千代田線
C07,Kokkai-gijidomae,国会議事堂前,C,Chiyoda Line,千代田線
C08,Kasumigaseki,霞ケ関,C,Chiyoda Line,千代田線
C09,Hibiya,日比谷,C,Chiyoda Line,千代田線
C10,Nijubashimae <Marunouchi>,二重橋前,C,Chiyoda Line,千代田線
C11,Otemachi,大手町,C,Chiyoda Line,千代田線
C12,Shin-ochanomizu,新御茶ノ水,C,Chiyoda Line,千代田線
C13,Yushima,湯島,C,Chiyoda Line,千代田線
C14,Nezu,根津,C,Chiyoda Line,千代田線
C15,Sendagi,千駄木,C,Chiyoda Line,千代田線
C16,Nishi-nippori,西日暮里,C,Chiyoda Line,千代田線
C17,Machiya,町屋,C,Chiyoda Line,千代田線
C18,Kita-senju,北千住,C,Chiyoda Line,千代田線
